koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_incl,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_bin_oedp_sig,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sra_err,koi_fwm_sdec,koi_fwm_sdec_err,koi_fwm_srao,koi_fwm_srao_err,koi_fwm_sdeco,koi_fwm_sdeco_err,koi_fwm_prao,koi_fwm_prao_err,koi_fwm_pdeco,koi_fwm_pdeco_err,koi_dicco_mra,koi_dicco_mra_err,koi_dicco_mdec,koi_dicco_mdec_err,koi_dicco_msky,koi_dicco_msky_err,koi_dikco_mra,koi_dikco_mra_err,koi_dikco_mdec,koi_dikco_mdec_err,koi_dikco_msky,koi_dikco_msky_err,label
CONFIRMED,0,0,0,0,4.180048081,2.741e-06,-2.741e-06,173.719249,0.000524,-0.000524,2455006.719,0.000524,-0.000524,0.047,0.335,-0.047,2.4479,0.0233,-0.0233,1765.6,15.6,-15.6,0.037538,0.000838,-0.000584,2.68413,0.08772,-0.57024,3.44,0.27,-0.17,0.0487,89.8,957.0,197.81,46.59,-29.56,13.534,0.442,-0.442,0.0,0.0,0.1914,0.5167,11.035603,102.849686,124.3,3,317.0,2.0,0.9837,5227.0,73.0,-83.0,4.535,0.033,-0.066,0.14,0.15,-0.15,0.838,0.068,-0.04,0.876,0.041,-0.05,289.78622,46.858791,15.342,16.042,15.278,15.042,14.938,13.903,13.527,13.359,0.205,19.3190843,2.8e-06,46.858816,2.7e-05,0.11,0.1,0.095,0.096,-2e-05,0.0002,-0.00017,0.0002,0.021,0.086,-0.016,0.08,0.026,0.088,-0.068,0.084,0.095,0.079,0.117,0.084,0
FALSE POSITIVE,1,0,1,0,68.832195,0.001078,-0.001078,172.12379,0.00964,-0.00964,2455005.124,0.00964,-0.00964,0.633,0.02,-0.491,3.31,0.332,-0.332,678.1,83.9,-83.9,0.024975,0.000358,-0.003101,8.3847,10.68587,-1.84046,2.35,0.67,-0.23,0.3212,89.72,411.0,6.71,5.77,-1.84,128.1,54.4,-54.4,0.0,0.0,0.2676,0.3928,3.222927,7.4401913,8.2,2,17.0,2.0,0.7858,5687.0,169.0,-169.0,4.538,0.046,-0.184,-0.12,0.3,-0.3,0.86,0.246,-0.082,0.93,0.104,-0.104,292.26813,37.955639,15.762,16.36,15.709,15.505,15.368,14.459,14.014,13.939,0.555,19.484542,3.8e-05,37.95524,0.00047,0.0,1.6,-1.4,1.7,0.0002,0.0011,0.0006,0.0011,1.1,0.87,0.04,0.46,1.1,0.87,1.19,0.94,0.14,0.53,1.2,0.93,1
CONFIRMED,0,0,0,0,1.729367077,2.587e-06,-2.587e-06,133.81929,0.00125,-0.00125,2454966.819,0.00125,-0.00125,0.278,0.17,-0.278,1.7442,0.0408,-0.0408,484.4,12.6,-12.6,0.019899,0.000599,-0.00049,2.62604,0.60951,-0.60888,1.82,0.15,-0.09,0.027,87.87,1284.0,643.54,151.59,-96.16,7.46,1.7,-1.7,0.0,0.0,0.1914,0.5167,4.5527987,36.352104,44.7,3,722.0,3.0,0.6613,5227.0,73.0,-83.0,4.535,0.033,-0.066,0.14,0.15,-0.15,0.838,0.068,-0.04,0.876,0.041,-0.05,289.78622,46.858791,15.342,16.042,15.278,15.042,14.938,13.903,13.527,13.359,0.17,19.3190878,8.2e-06,46.858866,7.8e-05,0.24,0.3,0.27,0.28,-6e-05,0.00014,-0.00013,0.00013,-0.16,0.1,0.09,0.11,0.18,0.1,-0.26,0.1,0.2,0.1,0.33,0.1,0
FALSE POSITIVE,0,1,0,0,5.26640614,1.691e-06,-1.691e-06,173.833637,0.000226,-0.000226,2455006.834,0.000226,-0.000226,0.869,0.177,-0.078,3.6163,0.0197,-0.0197,59294.0,247.0,-247.0,0.296518,0.125133,-0.039935,0.84883,0.01238,-0.05774,38.05,5.76,-5.77,0.0592,85.37,1163.0,431.87,183.32,-145.21,10.756,0.157,-0.157,0.0,0.0,0.2889,0.3511,1378.5894,8152.3105,339.9,1,255.0,1.0,0.1785,5916.0,107.0,-119.0,4.296,0.132,-0.108,-0.06,0.15,-0.15,1.175,0.178,-0.178,0.995,0.081,-0.066,293.96606,42.837269,12.947,13.319,12.9,12.788,12.742,11.893,11.626,11.518,,19.597738563,2.5e-08,42.83731059,3.4e-07,0.0223,0.001,0.1461,0.0012,0.016,0.014,,,-0.045,0.067,-0.131,0.067,0.139,0.067,-0.004,0.069,-0.083,0.071,0.083,0.071,1
FALSE POSITIVE,0,1,1,0,44.18938922,8.511e-05,-8.511e-05,209.98968,0.00151,-0.00151,2455042.99,0.00151,-0.00151,1.03,1.308,-0.075,6.8151,0.0728,-0.0728,4293.5,48.7,-48.7,0.132398,1.264731,-0.048885,0.12348,0.19445,-0.02567,14.0,4.06,-1.75,0.2395,87.47,537.0,19.73,16.82,-6.52,23.36,9.2,-9.2,0.0,0.0,0.2965,0.3342,50.801346,141.99004,102.0,1,32.0,1.0,0.0,6061.0,164.0,-200.0,4.438,0.087,-0.203,-0.36,0.3,-0.3,0.968,0.281,-0.121,0.939,0.13,-0.109,286.5242,37.985432,14.882,15.345,14.848,14.684,14.624,13.695,13.351,13.275,0.0,19.1016833,2.1e-06,37.983254,2.5e-05,2.98,0.088,-7.834,0.089,-0.01254,0.00059,0.02695,0.0007,1.403,0.073,-3.883,0.07,4.129,0.073,1.592,0.072,-4.246,0.069,4.535,0.07,1
CONFIRMED,0,0,0,0,29.00789166,8.475e-05,-8.475e-05,170.55349,0.00205,-0.00205,2455003.553,0.00205,-0.00205,0.761,0.108,-0.542,5.0274,0.0848,-0.0848,906.3,23.1,-23.1,0.03013,0.002055,-0.002866,0.64367,1.34388,-0.03841,2.64,0.43,-0.22,0.1759,88.57,498.0,14.59,7.69,-3.58,30.6,12.8,-12.8,0.0,0.0,0.1959,0.5086,9.03447,36.558846,44.1,1,34.0,1.0,0.9362,5295.0,159.0,-143.0,4.566,0.037,-0.105,-0.02,0.3,-0.3,0.801,0.132,-0.066,0.861,0.071,-0.086,284.65787,42.652679,14.805,15.454,14.74,14.527,14.408,13.497,13.01,12.961,0.024,18.9771761,7.7e-06,42.652756,9e-05,-0.63,0.3,0.27,0.32,5e-05,0.00028,-0.00039,0.0003,0.24,0.16,0.2,0.12,0.31,0.17,0.15,0.16,0.04,0.12,0.15,0.17,0
FALSE POSITIVE,0,1,1,0,47.878243,0.0001965,-0.0001965,193.20518,0.00288,-0.00288,2455026.205,0.00288,-0.00288,1.076,64.49,-0.114,4.066,0.158,-0.158,910.0,34.7,-34.7,0.119641,64.55568,-0.083413,0.18024,48.49488,-0.0701,8.15,0.53,-0.72,0.2192,87.79,317.0,2.38,0.65,-0.63,28.0,14.0,-14.0,0.0,0.0,0.101,0.6443,14.353132,31.666616,30.9,1,27.0,1.0,0.833,4254.0,128.0,-128.0,4.634,0.049,-0.021,-0.16,0.3,-0.3,0.624,0.04,-0.055,0.612,0.062,-0.05,286.2406,42.670231,14.261,15.462,14.232,13.747,13.452,12.215,11.615,11.467,0.0,19.0826154,8.8e-06,42.676,0.0001,-3.62,0.35,20.75,0.37,0.0028,0.00029,-0.01643,0.00032,-1.318,0.069,6.182,0.077,6.321,0.077,-1.392,0.07,6.017,0.075,6.176,0.075,1
CANDIDATE,0,0,0,0,2.433703498,8.972e-06,-8.972e-06,133.83759,0.00279,-0.00279,2454966.838,0.00279,-0.00279,0.952,0.01,-0.647,0.975,0.141,-0.141,258.3,35.8,-35.8,0.019596,0.010984,-0.004758,1.1058,55.40096,-0.12312,1.66,0.24,-0.12,0.0337,82.21,1112.0,362.64,171.67,-89.31,7.02,3.5,-3.5,0.0,0.0,0.1959,0.5086,3.6801171,7.2664514,10.2,2,534.0,2.0,0.537,5251.0,158.0,-158.0,4.592,0.032,-0.097,-0.04,0.3,-0.3,0.778,0.112,-0.06,0.869,0.06,-0.095,286.00674,38.009541,15.409,16.077,15.345,15.123,15.034,13.99,13.556,13.44,0.001,19.067143,1.7e-05,38.00954,0.00016,1.15,0.72,0.01,0.57,0.00029,0.0002,-0.00025,0.00016,-4.35,0.61,-0.25,0.55,4.36,0.61,-1.0,1.4,-0.5,1.1,1.1,1.3,2
CONFIRMED,0,0,0,0,13.69942266,1.439e-05,-1.439e-05,171.48036,0.000834,-0.000834,2455004.48,0.000834,-0.000834,0.03,0.266,-0.03,4.3409,0.0264,-0.0264,1292.9,11.4,-11.4,0.032372,0.000428,-0.000181,1.55362,0.01264,-0.29256,3.85,0.57,-0.51,0.1094,89.93,771.0,83.6,32.54,-24.07,24.887,0.202,-0.202,0.0,0.0,0.2291,0.4603,15.3708105,99.55829,120.0,2,97.0,1.0,0.1226,5541.0,74.0,-74.0,4.332,0.137,-0.1,0.14,0.15,-0.15,1.089,0.161,-0.145,0.929,0.067,-0.043,287.77356,42.869282,14.619,15.113,14.587,14.407,14.349,13.46,13.101,13.052,0.706,19.1849129,3.1e-06,42.869316,3.8e-05,0.32,0.12,0.13,0.14,0.0,0.00016,7e-05,0.00018,-0.052,0.08,0.075,0.092,0.091,0.088,0.045,0.082,0.239,0.092,0.244,0.092,0
CONFIRMED,0,0,0,0,4.309381978,6.657e-06,-6.657e-06,134.03552,0.00126,-0.00126,2454967.036,0.00126,-0.00126,0.034,0.368,-0.034,2.8977,0.0359,-0.0359,310.7,8.1,-8.1,0.015879,0.000477,-0.000254,1.56957,0.0649,-0.39624,1.89,0.28,-0.25,0.0506,89.83,1134.0,390.76,152.15,-112.5,11.55,0.478,-0.478,0.0,0.0,0.2291,0.4603,4.4813633,29.807705,42.3,2,302.0,2.0,0.8912,5541.0,74.0,-74.0,4.332,0.137,-0.1,0.14,0.15,-0.15,1.089,0.161,-0.145,0.929,0.067,-0.043,287.77356,42.869282,14.619,15.113,14.587,14.407,14.349,13.46,13.101,13.052,0.014,19.184923,1e-05,42.8695,0.00013,0.72,0.41,0.79,0.46,-0.0001,0.0001,-0.00015,0.00012,-0.07,0.13,0.07,0.17,0.09,0.15,0.11,0.14,0.21,0.17,0.24,0.16,0
CONFIRMED,0,0,0,0,4.9213639,4.007e-06,-4.007e-06,174.299322,0.000661,-0.000661,2455007.299,0.000661,-0.000661,0.026,0.359,-0.026,1.8806,0.0205,-0.0205,761.3,11.0,-11.0,0.024565,0.000668,-0.000229,6.71333,0.08992,-1.95969,2.14,0.14,-0.11,0.0532,89.93,868.0,134.02,30.09,-23.31,20.484,0.274,-0.274,0.0,0.0,0.1496,0.5746,8.067731,65.18976,77.7,2,273.0,1.0,0.7463,5076.0,101.0,-101.0,4.55,0.036,-0.05,0.1,0.15,-0.15,0.799,0.051,-0.043,0.827,0.043,-0.043,290.51648,43.08382,14.196,14.902,14.138,13.894,13.779,12.767,12.329,12.246,0.577,19.367768,3.5e-06,43.08388,3.9e-05,0.08,0.14,0.22,0.14,-1e-05,0.00011,6e-05,0.00011,-0.104,0.098,-0.092,0.09,0.139,0.095,-0.116,0.089,0.11,0.1,0.16,0.1,0
CONFIRMED,0,0,0,0,87.0912594,0.0004406,-0.0004406,187.31231,0.00434,-0.00434,2455020.312,0.00434,-0.00434,0.845,0.005,-0.597,7.0,0.158,-0.158,1129.1,28.3,-28.3,0.035555,0.000385,-0.004928,0.46057,1.83089,-0.28879,2.95,0.18,-0.13,0.3579,89.15,321.0,2.52,0.55,-0.39,56.9,28.3,-28.3,0.0,0.0,0.153,0.5684,12.644347,31.220211,41.8,5,12.0,2.0,0.3415,5001.0,99.0,0.0,4.582,0.024,-0.048,0.04,0.15,-0.15,0.76,0.046,-0.034,0.806,0.038,-0.046,285.99988,40.919319,14.194,14.929,14.123,13.878,13.76,12.729,12.283,12.186,0.956,19.0666581,6.6e-06,40.919342,7.8e-05,-0.05,0.27,0.08,0.28,2e-05,0.00032,-5e-05,0.00035,-0.232,0.094,0.07,0.13,0.241,0.097,-0.218,0.092,0.22,0.12,0.31,0.11,0
FALSE POSITIVE,0,0,1,0,1.583160478,8.28e-07,-8.28e-07,169.965242,0.0004,-0.0004,2455002.965,0.0004,-0.0004,0.897,0.028,-0.641,1.1935,0.0225,-0.0225,732.6,9.8,-9.8,0.029555,0.000722,-0.00399,1.06758,8.08922,-0.44108,3.27,1.05,-0.36,0.0276,80.09,1619.0,1625.93,1582.77,-493.93,5.21,2.5,-2.5,0.0,0.0,0.2844,0.3661,6.599538,73.8492,97.7,1,837.0,1.0,0.997,6063.0,182.0,-200.0,4.476,0.04,-0.229,0.07,0.25,-0.35,1.012,0.328,-0.109,1.117,0.132,-0.162,288.50888,41.09589,14.731,15.186,14.659,14.536,14.466,13.577,13.267,13.185,0.0,19.233932,3.5e-06,41.096077,3.8e-05,0.3,0.14,0.67,0.14,-0.00012,0.0001,-0.000584,9.9e-05,0.174,0.078,0.901,0.083,0.917,0.083,0.297,0.08,0.74,0.086,0.798,0.084,1
CANDIDATE,0,0,0,0,7.9788198,0.0001264,-0.0001264,132.2596,0.0129,-0.0129,2454965.26,0.0129,-0.0129,0.05,0.415,-0.05,2.874,0.353,-0.353,83.8,11.4,-11.4,0.008249,0.000641,-0.000703,2.89645,10.10629,-1.20089,0.99,0.14,-0.15,0.0766,89.87,927.0,174.85,67.54,-54.17,21.4,10.6,-10.6,0.0,0.0,0.224,0.4695,3.5364838,7.9889746,8.3,4,150.0,3.0,0.603,5553.0,74.0,-74.0,4.33,0.137,-0.1,0.16,0.15,-0.15,1.098,0.161,-0.161,0.941,0.062,-0.048,290.20163,48.185822,14.754,15.293,14.707,14.523,14.463,13.527,13.153,13.101,0.037,19.346698,4.4e-05,48.18552,0.00039,-2.8,1.6,-1.1,1.4,0.00025,0.00015,0.0001,0.00014,-2.55,0.94,0.53,0.72,2.6,0.93,-2.77,0.94,0.44,0.76,2.81,0.93,2
CONFIRMED,0,0,0,0,18.49234792,3.313e-05,-3.313e-05,173.49816,0.00141,-0.00141,2455006.498,0.00141,-0.00141,0.034,0.399,-0.034,3.4744,0.0534,-0.0534,1655.5,30.7,-30.7,0.036503,0.00116,-0.000451,4.13534,0.23084,-1.13942,3.34,0.52,-0.42,0.1254,89.95,603.0,31.27,15.71,-10.15,42.13,2.4,-2.4,0.0,0.0,0.2075,0.49,11.522421,60.3851,61.4,1,76.0,1.0,0.1997,5289.0,159.0,-159.0,4.477,0.115,-0.127,-0.18,0.3,-0.3,0.838,0.13,-0.106,0.769,0.118,-0.055,297.50369,41.057018,14.915,15.602,14.868,14.62,14.501,13.467,13.034,12.992,0.192,19.8335825,4.3e-06,41.056992,4.5e-05,0.13,0.17,-0.1,0.16,-7e-05,0.00031,0.00024,0.0003,-0.021,0.09,-0.045,0.082,0.05,0.085,0.108,0.091,-0.043,0.08,0.116,0.089,0
CONFIRMED,0,0,0,0,7.930583519,9.41e-06,-9.41e-06,169.516944,0.000969,-0.000969,2455002.517,0.000969,-0.000969,0.559,0.336,-0.347,3.6083,0.0454,-0.0454,826.1,10.2,-10.2,0.027039,0.004337,-0.001019,0.91343,0.65887,-0.01,3.05,0.47,-0.17,0.08,87.79,899.0,154.36,66.57,-27.32,14.48,5.2,-5.2,0.0,0.0,0.2436,0.4458,12.16188,71.042274,89.9,2,130.0,1.0,0.6027,5674.0,103.0,-114.0,4.446,0.034,-0.128,0.48,0.05,-0.15,1.032,0.159,-0.057,1.086,0.05,-0.066,284.52118,41.629601,14.387,14.948,14.317,14.146,14.067,13.143,12.773,12.677,0.474,18.9680792,3.9e-06,41.629674,4.3e-05,0.0,0.16,0.27,0.16,1e-05,0.00013,-9e-05,0.00013,0.05,0.11,-0.02,0.12,0.058,0.099,0.07,0.11,0.2,0.12,0.21,0.13,0
CONFIRMED,0,0,0,0,7.07136119,3.085e-05,-3.085e-05,139.98763,0.00381,-0.00381,2454972.988,0.00381,-0.00381,0.658,0.292,-0.433,2.757,0.111,-0.111,65.7,3.2,-3.2,0.007798,0.002241,-0.000586,1.27319,1.38305,-1.17782,0.63,0.04,-0.02,0.067,87.48,719.0,63.11,14.34,-9.52,14.99,5.4,-5.4,0.0,0.0,0.1496,0.5746,5.1178565,19.823141,22.4,6,182.0,4.0,0.2108,4900.0,98.0,-98.0,4.602,0.017,-0.049,0.08,0.15,-0.15,0.741,0.048,-0.03,0.806,0.033,-0.049,281.48273,47.208031,11.492,12.289,11.428,11.15,11.034,9.984,9.446,9.351,0.177,18.765485,1.7e-05,47.2078,0.00013,-1.12,0.63,-0.83,0.47,3.3e-05,4.1e-05,2.6e-05,3e-05,-0.29,0.29,-0.23,0.38,0.37,0.33,-0.88,0.29,-0.61,0.4,1.07,0.33,0
FALSE POSITIVE,0,1,1,1,9.50150926,6.359e-05,-6.359e-05,175.67002,0.00506,-0.00506,2455008.67,0.00506,-0.00506,1.237,14.83,-0.111,6.852,0.242,-0.242,509.5,17.5,-17.5,0.259878,14.82457,-0.107728,0.0046,1.24387,-0.00034,25.77,7.75,-2.58,0.0876,63.77,843.0,119.55,105.23,-34.87,2.8,1.4,-1.4,0.0,0.0,0.2916,0.3447,9.614237,28.963373,34.8,1,144.0,1.0,0.7814,5938.0,159.0,-195.0,4.518,0.052,-0.208,-0.16,0.3,-0.3,0.908,0.273,-0.091,0.992,0.116,-0.129,299.67938,40.965141,14.799,15.308,14.749,14.581,14.476,13.578,13.252,13.199,,19.979487,1.4e-05,40.98943,0.00014,35.1,0.56,87.44,0.49,,,,,4.864,0.07,9.573,0.067,10.737,0.068,4.897,0.075,9.546,0.067,10.729,0.07,1
CONFIRMED,0,0,0,0,15.65563866,3.206e-05,-3.206e-05,170.78358,0.00162,-0.00162,2455003.784,0.00162,-0.00162,0.304,0.146,-0.303,3.9305,0.0627,-0.0627,955.9,20.8,-20.8,0.027942,0.000653,-0.000765,2.0611,0.33521,-0.61692,2.55,0.32,-0.31,0.1128,89.42,623.0,35.62,14.99,-11.41,29.89,4.9,-4.9,0.0,0.0,0.2043,0.4966,7.327698,40.057575,53.2,1,69.0,1.0,0.0999,5185.0,154.0,-154.0,4.484,0.1,-0.1,-0.06,0.3,-0.3,0.837,0.104,-0.104,0.779,0.099,-0.058,285.9115,41.069439,14.97,15.673,14.901,14.668,14.507,13.51,13.031,12.972,0.157,19.0607663,6.6e-06,41.069421,7.8e-05,-0.01,0.27,-0.07,0.28,0.00014,0.00026,0.00024,0.00028,0.083,0.096,0.19,0.19,0.21,0.18,0.22,0.1,0.41,0.2,0.47,0.18,0
CANDIDATE,0,0,0,0,10.52286678,6.531e-05,-6.531e-05,137.78844,0.00485,-0.00485,2454970.788,0.00485,-0.00485,1.12,69.21,-0.128,1.911,0.29,-0.29,130.2,17.0,-17.0,0.13197,69.20965,-0.112427,0.06071,164.53168,-0.04399,23.26,3.66,-5.49,0.0952,80.9,1008.0,243.72,109.41,-111.37,7.08,3.5,-3.5,0.0,0.0,0.2286,0.4641,3.3936183,7.7277584,10.1,2,95.0,2.0,0.9743,5548.0,110.0,0.0,4.038,0.21,-0.09,0.18,0.15,-0.15,1.614,0.254,-0.381,1.038,0.095,-0.095,296.18344,47.358761,13.497,14.012,13.446,13.277,13.201,12.248,11.885,11.798,0.82,19.745581,3.1e-05,47.35873,0.00033,0.7,1.1,-0.1,1.2,-6e-05,0.00013,2e-05,0.00014,-0.1,2.4,-1.2,1.7,1.2,1.7,0.0,2.4,-1.1,1.7,1.1,1.7,2
CONFIRMED,0,0,0,0,9.17858526,1.432e-05,-1.432e-05,173.08746,0.00131,-0.00131,2455006.087,0.00131,-0.00131,0.582,0.294,-0.362,2.1945,0.044,-0.044,796.5,18.4,-18.4,0.026756,0.003371,-0.001074,4.44025,2.97132,-2.88855,2.3,0.52,-0.2,0.0819,88.77,753.0,76.14,52.19,-20.21,27.04,9.0,-9.0,0.0,0.0,0.2434,0.4341,6.97199,44.101025,50.6,1,144.0,1.0,0.0356,5506.0,166.0,-166.0,4.584,0.036,-0.144,-0.2,0.3,-0.3,0.788,0.176,-0.07,0.876,0.083,-0.102,296.66275,41.261238,14.874,15.463,14.812,14.621,14.459,13.45,13.124,13.078,0.041,19.7775156,6.4e-06,41.261234,7e-05,-0.02,0.26,-0.02,0.25,-0.00035,0.00021,-6e-05,0.0002,0.44,0.12,0.36,0.1,0.57,0.12,0.08,0.12,0.129,0.097,0.15,0.11,0
FALSE POSITIVE,0,0,0,1,4.33144839,2.799e-05,-2.799e-05,173.69466,0.00464,-0.00464,2455006.695,0.00464,-0.00464,0.291,0.1925,-0.291,2.58,0.174,-0.174,216.4,16.8,-16.8,0.013434,0.000634,-0.000828,1.95435,0.71725,-0.75993,1.07,0.35,-0.11,0.0459,88.81,939.0,183.62,184.15,-50.57,12.47,4.6,-4.6,0.0,0.0,0.2887,0.3721,6.7502584,12.980131,17.3,1,239.0,1.0,,5344.0,175.0,-146.0,4.55,0.075,-0.491,-0.62,0.36,-0.28,0.728,0.238,-0.073,0.686,0.135,-0.037,283.4711,41.873211,14.791,15.403,14.767,14.529,14.423,13.446,12.971,12.965,0.013,18.898119,2.9e-05,41.87322,0.00035,1.8,1.2,0.0,1.3,-0.00036,0.00022,1e-05,0.00024,-0.8,1.3,0.57,0.97,1.02,0.97,-0.9,1.3,0.63,0.81,1.09,0.93,1
CONFIRMED,0,0,0,0,23.67513153,9.032e-05,-9.032e-05,179.27676,0.00298,-0.00298,2455012.277,0.00298,-0.00298,0.822,0.018,-0.585,4.647,0.13,-0.13,980.4,34.3,-34.3,0.032391,0.005035,-0.003773,0.48621,1.68033,-0.16325,2.76,0.43,-0.23,0.1536,88.06,528.0,18.38,8.95,-4.57,24.3,12.0,-12.0,0.0,0.0,0.2043,0.4966,8.497564,33.20943,32.6,1,45.0,1.0,0.5852,5309.0,143.0,-143.0,4.588,0.032,-0.097,-0.08,0.3,-0.3,0.781,0.122,-0.066,0.869,0.061,-0.096,283.83307,41.978649,14.721,15.341,14.656,14.455,14.361,13.387,12.96,12.812,0.0,18.9222061,7.8e-06,41.978586,9.9e-05,0.09,0.31,-0.23,0.36,0.00025,0.00031,0.00065,0.00035,0.02,0.1,-0.033,0.093,0.039,0.096,0.13,0.11,-0.008,0.097,0.13,0.11,0
CONFIRMED,0,0,0,0,29.19899219,2.398e-05,-2.398e-05,185.440631,0.000656,-0.000656,2455018.441,0.000656,-0.000656,0.043,0.33,-0.043,5.1227,0.0377,-0.0377,2047.2,13.3,-13.3,0.040459,0.000799,-0.000451,2.05855,0.01937,-0.46212,4.15,0.49,-0.32,0.1815,89.95,540.0,20.05,7.02,-4.31,45.27,0.426,-0.426,0.0,0.0,0.2193,0.4785,29.245983,150.68636,171.0,3,49.0,1.0,0.0051,5376.0,107.0,-107.0,4.462,0.06,-0.09,0.28,0.15,-0.15,0.94,0.11,-0.073,0.934,0.045,-0.05,285.85367,38.384121,14.001,14.635,13.941,13.729,13.632,12.694,12.274,12.184,0.165,19.0569078,2.1e-06,38.383999,2.5e-05,-0.125,0.089,-0.435,0.089,-0.0001,0.0002,-0.00018,0.00021,0.055,0.079,0.067,0.09,0.087,0.089,0.111,0.085,0.013,0.079,0.112,0.085,0
CONFIRMED,0,0,0,0,160.0191598,0.0005208,-0.0005208,251.28261,0.00246,-0.00246,2455084.283,0.00246,-0.00246,0.852,0.042,-0.587,5.472,0.163,-0.163,1552.8,33.4,-33.4,0.041725,0.002575,-0.005273,1.77683,7.97178,-0.72905,4.28,0.5,-0.33,0.5642,89.64,306.0,2.08,0.72,-0.45,134.0,66.8,-66.8,0.0,0.0,0.2193,0.4785,23.508638,46.990246,49.6,3,8.0,2.0,0.6994,5376.0,107.0,-107.0,4.462,0.06,-0.09,0.28,0.15,-0.15,0.94,0.11,-0.073,0.934,0.045,-0.05,285.85367,38.384121,14.001,14.635,13.941,13.729,13.632,12.694,12.274,12.184,0.308,19.0569006,7.4e-06,38.38393,8.5e-05,-0.43,0.31,-0.68,0.31,0.0004,0.00052,0.00025,0.00053,-0.03,0.15,0.15,0.11,0.15,0.11,0.04,0.15,0.12,0.1,0.12,0.11,0
FALSE POSITIVE,1,0,0,0,7.05185637,,,133.3669015,,,2454966.367,,,,,,3.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,289.73972,44.647419,11.665,12.085,11.601,11.485,11.458,10.542,10.257,10.213,,,,,,,,,,,,,,,,,,,,,,,,,,1
CONFIRMED,0,0,0,0,10.854095934,4.977e-06,-4.977e-06,138.608031,0.000378,-0.000378,2454971.608,0.000378,-0.000378,0.422,0.034,-0.358,3.7768,0.0204,-0.0204,1034.4,4.5,-4.5,0.029604,0.001495,-0.000524,1.41039,0.47265,-0.09323,2.99,0.33,-0.27,0.0919,88.83,765.0,80.88,26.8,-19.06,20.63,6.9,-6.9,0.0,0.0,0.2327,0.4526,29.724392,203.21265,252.8,5,123.0,1.0,0.3178,5465.0,109.0,-109.0,4.449,0.085,-0.085,0.02,0.15,-0.15,0.925,0.101,-0.083,0.876,0.06,-0.044,287.698,42.338718,12.498,12.997,12.423,12.284,12.209,11.252,10.91,10.871,0.035,19.17986668,9.6e-07,42.338664,1.1e-05,-0.025,0.038,-0.201,0.04,-2.6e-05,4.2e-05,-5.5e-05,4.6e-05,-0.047,0.092,0.045,0.098,0.065,0.092,-0.087,0.091,-0.231,0.1,0.25,0.1,0
CONFIRMED,0,0,0,0,55.3291399,0.0005174,-0.0005174,186.31545,0.00783,-0.00783,2455019.315,0.00783,-0.00783,0.209,0.246,-0.209,6.918,0.215,-0.215,325.7,16.0,-16.0,0.016221,0.00065,-0.000704,1.38589,0.25635,-0.44471,1.67,0.19,-0.13,0.2779,89.8,436.0,8.55,3.0,-1.84,60.8,11.2,-11.2,0.0,0.0,0.2193,0.4785,6.395741,16.51769,21.8,3,23.0,3.0,0.0086,5376.0,107.0,-107.0,4.462,0.06,-0.09,0.28,0.15,-0.15,0.94,0.11,-0.073,0.934,0.045,-0.05,285.85367,38.384121,14.001,14.635,13.941,13.729,13.632,12.694,12.274,12.184,0.032,19.056895,1.8e-05,38.38427,0.00021,-0.67,0.75,0.53,0.75,0.00016,0.00024,-0.00034,0.00024,-0.75,0.51,-0.82,0.45,1.11,0.57,-0.67,0.52,-0.88,0.46,1.11,0.59,0
